Id in EU,id,Id di Riccardo,In zotero,EU selection,Title of the scientific publication,abstract,doi link,DOI,Year of publication,Type of scientific publication,Issue,Ack,Open access,Open Access Fee,Fee corrisposta da,container,Publisher,Authors,ISSN or eSSN,Title of the journal or equivalent,"Number, date",Place of publication,Relevant pages,Joint Public / Private publication,Peer-review,Research line
17,26,BGM2021,TRUE,FALSE,Deriving a Single Interpretable Model by Merging Tree-Based Classifiers,"Decision tree classifiers have been proved to be among the most interpretable models due to their intuitive structure that illustrates decision processes in form of logical rules. Unfortunately, more complex tree-based classifiers such as oblique trees and random forests overcome the accuracy of decision trees at the cost of becoming non interpretable. In this paper, we propose a method that takes as input any tree-based classifier and returns a single decision tree able to approximate its behavior. Our proposal merges tree-based classifiers by an intensional and extensional approach and applies a post-hoc explanation strategy. Our experiments shows that the retrieved single decision tree is at least as accurate as the original tree-based model, faithful, and more interpretable.",https://dx.doi.org/10.1007/978-3-030-88942-5_27,10.1007/978-3-030-88942-5_27,2021,book-chapter,"ack ok, no OA",TRUE,NO,,,Discovery Science,Springer International Publishing,"Bonsignori Valerio, Guidotti Riccardo, Monreale Anna",0302-9743,,,,,,,"1,2"
18,40,PBP2022,TRUE,TRUE,Understanding the impact of explanations on advice-taking: a user study for AI-based clinical Decision Support Systems,"The field of eXplainable Artificial Intelligence (XAI) focuses on providing explanations for AI systems' decisions. XAI applications to AI-based Clinical Decision Support Systems (DSS) should increase trust in the DSS by allowing clinicians to investigate the reasons behind its suggestions. In this paper, we present the results of a user study on the impact of advice from a clinical DSS on healthcare providers' judgment in two different cases: the case where the clinical DSS explains its suggestion and the case it does not. We examined the weight of advice, the behavioral intention to use the system, and the perceptions with quantitative and qualitative measures. Our results indicate a more significant impact of advice when an explanation for the DSS decision is provided. Additionally, through the open-ended questions, we provide some insights on how to improve the explanations in the diagnosis forecasts for healthcare assistants, nurses, and doctors.",,10.1145/3491102.3502104,2022,proceedings-article,"ack ok, OA ok",TRUE,Gold,,,2022 Conference on Human Factors in Computing Systems,,"Panigutti Cecilia, Beretta Andrea, Pedreschi Dino, Giannotti Fosca",,Proceedings of the 2022 Conference on Human Factors in Computing Systems,2022,,,,YES,4
19,21,PPB2021,TRUE,TRUE,FairLens: Auditing black-box clinical decision support systems,"Highlights: We present a pipeline to detect and explain potential fairness issues in Clinical DSS. We study and compare different multi-label classification disparity measures. We explore ICD9 bias in MIMIC-IV, an openly available ICU benchmark dataset",https://dx.doi.org/10.1016/j.ipm.2021.102657,10.1016/j.ipm.2021.102657,2021,journal-article,"ack ok, OA ok",TRUE,Gold,,,Information Processing & Management,Elsevier BV,"Panigutti Cecilia, Perotti Alan, Panisson André, Bajardi Paolo, Pedreschi Dino",0306-4573,Journal of Information Processing and Management,,,TBD,,YES,"1,4"
20,42,MG2021,TRUE,FALSE,FairShades: Fairness Auditing via Explainability in Abusive Language Detection Systems,"At every stage of a supervised learning process, harmful biases can arise and be inadvertently introduced, ultimately leading to marginalization, discrimination, and abuse towards minorities. This phenomenon becomes particularly impactful in the sensitive real-world context of abusive language detection systems, where non-discrimination is difficult to assess. In addition, given the opaqueness of their internal behavior, the dynamics leading a model to a certain decision are often not clear nor accountable, and significant problems of trust could emerge. A robust value-oriented evaluation of models' fairness is therefore necessary. In this paper, we present FairShades, a model-agnostic approach for auditing the outcomes of abusive language detection systems.  Combining explainability and fairness evaluation, FairShades can identify unintended biases and sensitive categories towards which models are most discriminative. This objective is pursued through the auditing of meaningful counterfactuals generated within CheckList framework. We conduct several experiments on BERT-based models to demonstrate our proposal's novelty and effectiveness for unmasking biases. ",https://doi.org/10.1109/CogMI52975.2021.00014,10.1109/CogMI52975.2021.00014,2021,proceedings-article,"ack ok, no OA",TRUE,NO,,,Third Conference on Cognitive Machine Intelligence (COGMI) 2021,,"Marchiori Manerba Marta, Guidotti Riccardo",,2021 IEEE Third International Conference on Cognitive Machine Intelligence (CogMI),2021,,,,,"1,5"
21,37,VMG2022,TRUE,TRUE,Understanding peace through the world news,"Peace is a principal dimension of well-being and is the way out of inequity and violence. Thus, its measurement has drawn the attention of researchers, policymakers, and peacekeepers. During the last years, novel digital data streams have drastically changed the research in this field. The current study exploits information extracted from a new digital database called Global Data on Events, Location, and Tone (GDELT) to capture peace through the Global Peace Index (GPI). Applying predictive machine learning models, we demonstrate that news media attention from GDELT can be used as a proxy for measuring GPI at a monthly level. Additionally, we use explainable AI techniques to obtain the most important variables that drive the predictions. This analysis highlights each country’s profile and provides explanations for the predictions, and particularly for the errors and the events that drive these errors. We believe that digital data exploited by researchers, policymakers, and peacekeepers, with data science tools as powerful as machine learning, could contribute to maximizing the societal benefits and minimizing the risks to peace.",https://dx.doi.org/10.1140/epjds/s13688-022-00315-z,10.1140/epjds/s13688-022-00315-z,2022,journal-article,"ack ok, OA ok",TRUE,Gold,,,EPJ Data Science,Springer Science and Business Media LLC,"Voukelatou Vasiliki, Miliou Ioanna, Giannotti Fosca, Pappalardo Luca",,EPJ Data Science,2022,,,,,4
22,8,PPP2020,TRUE,FALSE,Doctor XAI: an ontology-based approach to black-box sequential data classification explanations,"Several recent advancements in Machine Learning involve blackbox models: algorithms that do not provide human-understandable explanations in support of their decisions. This limitation hampers the fairness, accountability and transparency of these models; the field of eXplainable Artificial Intelligence (XAI) tries to solve this problem providing human-understandable explanations for black-box models. However, healthcare datasets (and the related learning tasks) often present peculiar features, such as sequential data, multi-label predictions, and links to structured background knowledge. In this paper, we introduce Doctor XAI, a model-agnostic explainability technique able to deal with multi-labeled, sequential, ontology-linked data. We focus on explaining Doctor AI, a multilabel classifier which takes as input the clinical history of a patient in order to predict the next visit. Furthermore, we show how exploiting the temporal dimension in the data and the domain knowledge encoded in the medical ontology improves the quality of the mined explanations.",https://dl.acm.org/doi/10.1145/3351095.3372855,10.1145/3351095.3372855,2020,conference proceedings,"no ack, OA ok",FALSE,NO,,,"FAT* '20: Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",,"Panigutti Cecilia, Perotti Alan, Pedreschi Dino",,"FAT* '20: Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",January 2020,,629–639,NO,YES,"1,3,4"
23,15,GMM2020,TRUE,FALSE,Explaining Image Classifiers Generating Exemplars and Counter-Exemplars from Latent Representations,"We present an approach to explain the decisions of black box image classifiers through synthetic exemplar and counter-exemplar learnt in the latent feature space. Our explanation method exploits the latent representations learned through an adversarial autoencoder for generating a synthetic neighborhood of the image for which an explanation is required. A decision tree is trained on a set of images represented in the latent space, and its decision rules are used to generate exemplar images showing how the original image can be modified to stay within its class. Counterfactual rules are used to generate counter-exemplars showing how the original image can “morph” into another class. The explanation also comprehends a saliency map highlighting the areas that contribute to its classification, and areas that push it into another class. A wide and deep experimental evaluation proves that the proposed method outperforms existing explainers in terms of fidelity, relevance, coherence, and stability, besides providing the most useful and interpretable explanations.",https://dx.doi.org/10.1609/aaai.v34i09.7116,10.1609/aaai.v34i09.7116,2021,journal-article,"no ack, OA ok",FALSE,NO,,,Proceedings of the AAAI Conference on Artificial Intelligence,Association for the Advancement of Artificial Intelligence (AAAI),"Guidotti Riccardo, Monreale Anna, Matwin Stan, Pedreschi Dino",2374-3468,,"Vol. 34 No. 09: Issue 9, 2020-04-03",,13665-13668,NO,YES,"1,4"
24,29,MGY2021,TRUE,FALSE,"Exemplars and Counterexemplars Explanations for Image Classifiers, Targeting Skin Lesion Labeling","Explainable AI consists in developing mechanisms allowing for an interaction between decision systems and humans by making the decisions of the formers understandable. This is particularly important in sensitive contexts like in the medical domain. We propose a use case study, for skin lesion diagnosis, illustrating how it is possible to provide the practitioner with explanations on the decisions of a state of the art deep neural network classifier trained to characterize skin lesions from examples. Our framework consists of a trained classifier onto which an explanation module operates. The latter is able to offer the practitioner exemplars and counterexemplars for the classification diagnosis thus allowing the physician to interact with the automatic diagnosis system. The exemplars are generated via an adversarial autoencoder. We illustrate the behavior of the system on representative examples.",https://dx.doi.org/10.1109/iscc53001.2021.9631485,10.1109/ISCC53001.2021.9631485,2021,proceedings-article,"no, ack, no OA",FALSE,NO,,,2021 IEEE Symposium on Computers and Communications (ISCC),IEEE,"Metta Carlo, Guidotti Riccardo, Yin Yuan, Gallinari Patrick, Rinzivillo Salvatore",,2021 IEEE Symposium on Computers and Communications (ISCC),,,,,,1
25,11,LGR2020,TRUE,FALSE,Explaining Sentiment Classification with Synthetic Exemplars and Counter-Exemplars,"We present xspells, a model-agnostic local approach for explaining the decisions of a black box model for sentiment classification of short texts. The explanations provided consist of a set of exemplar sentences and a set of counter-exemplar sentences. The former are examples classified by the black box with the same label as the text to explain. The latter are examples classified with a different label (a form of counter-factuals). Both are close in meaning to the text to explain, and both are meaningful sentences – albeit they are synthetically generated. xspells generates neighbors of the text to explain in a latent space using Variational Autoencoders for encoding text and decoding latent instances. A decision tree is learned from randomly generated neighbors, and used to drive the selection of the exemplars and counter-exemplars. We report experiments on two datasets showing that xspells outperforms the well-known lime method in terms of quality of explanations, fidelity, and usefulness, and that is comparable to it in terms of stability.",https://dx.doi.org/10.1007/978-3-030-61527-7_24,10.1007/978-3-030-61527-7_24,2021,book-chapter,"no ack, OA ok",FALSE,NO,,,Discovery Science,Springer International Publishing,"Lampridis Orestis, Guidotti Riccardo, Ruggieri Salvatore",0302-9743,"In International Conference on Discovery Science (pp. 357-373). Springer, Cham.",2020 October,,,,,1
26,12,G2021,TRUE,FALSE,Evaluating local explanation methods on ground truth,"Evaluating local explanation methods is a difficult task due to the lack of a shared and universally accepted definition of explanation. In the literature, one of the most common ways to assess the performance of an explanation method is to measure the fidelity of the explanation with respect to the classification of a black box model adopted by an Artificial Intelligent system for making a decision. However, this kind of evaluation only measures the degree of adherence of the local explainer in reproducing the behavior of the black box classifier with respect to the final decision. Therefore, the explanation provided by the local explainer could be different in the content even though it leads to the same decision of the AI system. In this paper, we propose an approach that allows to measure to which extent the explanations returned by local explanation methods are correct with respect to a synthetic ground truth explanation. Indeed, the proposed methodology enables the generation of synthetic transparent classifiers for which the reason for the decision taken, i.e., a synthetic ground truth explanation, is available by design. Experimental results show how the proposed approach allows to easily evaluate local explanations on the ground truth and to characterize the quality of local explanation methods.",https://dx.doi.org/10.1016/j.artint.2020.103428,10.1016/j.artint.2020.103428,2021,journal-article,no ack,FALSE,NO,,,Artificial Intelligence,Elsevier BV,Guidotti Riccardo,0004-3702,"Artificial Intelligence, 103428",,,,,,1
27,28,GR2021,,FALSE,Ensemble of Counterfactual Explainers,"In eXplainable Artificial Intelligence (XAI), several counterfactual explainers have been proposed, each focusing on some desirable properties of counterfactual instances: minimality, actionability, stability, diversity, plausibility, discriminative power. We propose an ensemble of counterfactual explainers that boosts weak explainers, which provide only a subset of such properties, to a powerful method covering all of them. The ensemble runs weak explainers on a sample of instances and of features, and it combines their results by exploiting a diversity-driven selection function. The method is model-agnostic and, through a wrapping approach based on autoencoders, it is also data-agnostic",https://pages.di.unipi.it/ruggieri/Papers/ds2021.pdf,,2021,,no ack,FALSE,NO,,,,,"Guidotti Riccardo, Ruggieri Salvatore",,,,,,,,1
28,30,GM2021,TRUE,FALSE,Designing Shapelets for Interpretable Data-Agnostic Classification,"Time series shapelets are discriminatory subsequences which are representative of a class, and their similarity to a time series can be used for successfully tackling the time series classification problem. The literature shows that Artificial Intelligence (AI) systems adopting classification models based on time series shapelets can be interpretable, more accurate, and significantly fast. Thus, in order to design a data-agnostic and interpretable classification approach, in this paper we first extend the notion of shapelets to different types of data, i.e., images, tabular and textual data. Then, based on this extended notion of shapelets we propose an interpretable data-agnostic classification method. Since the shapelets discovery can be time consuming, especially for data types more complex than time series, we exploit a notion of prototypes for finding candidate shapelets, and reducing both the time required to find a solution and the variance of shapelets. A wide experimentation on datasets of different types shows that the data-agnostic prototype-based shapelets returned by the proposed method empower an interpretable classification which is also fast, accurate, and stable. In addition, we show and we prove that shapelets can be at the basis of explainable AI methods.",https://doi.org/10.1145/3461702.3462553,10.1145/3461702.3462553,2021,proceedings-article,no ack,FALSE,NO,,,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",Association for Computing Machinery,"Guidotti Riccardo, Monreale Anna",,,,,,,,1
29,45,G2022,TRUE,TRUE,Counterfactual explanations and how to find them: literature review and benchmarking,"Interpretable machine learning aims at unveiling the reasons behind predictions returned by uninterpretable classifiers. One of the most valuable types of explanation consists of counterfactuals. A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome. For instance, a bank customer asks for a loan that is rejected. The counterfactual explanation consists of what should have been different for the customer in order to have the loan accepted. Recently, there has been an explosion of proposals for counterfactual explainers. The aim of this work is to survey the most recent explainers returning counterfactual explanations. We categorize explainers based on the approach adopted to return the counterfactuals, and we label them according to characteristics of the method and properties of the counterfactuals returned. In addition, we visually compare the explanations, and we report quantitative benchmarking assessing minimality, actionability, stability, diversity, discriminative power, and running time. The results make evident that the current state of the art does not provide a counterfactual explainer able to guarantee all these properties simultaneously.",https://doi.org/10.1007/s10618-022-00831-6,10.1007/s10618-022-00831-6,2022,journal-article,"ack ok, OA ok",TRUE,Gold,,UNIPI (probabilmente abbonamento),Data Mining and Knowledge Discovery,Kluwer Academic Publishers,Riccardo Guidotti,1384-5810,Data Mining and Knowledge Discovery,2022,Netherlands,,,,1
30,46,TSS2022,TRUE,TRUE,"Explainable AI for Time Series Classification: A Review, Taxonomy and Research Directions","Time series data is increasingly used in a wide range of fields, and it is often relied on in crucial applications and high-stakes decision-making. For instance, sensors generate time series data to recognize different types of anomalies through automatic decision-making systems. Typically, these systems are realized with machine learning models that achieve top-tier performance on time series classification tasks. Unfortunately, the logic behind their prediction is opaque and hard to understand from a human standpoint. Recently, we observed a consistent increase in the development of explanation methods for time series classification justifying the need to structure and review the field. In this work, we (a) present the first extensive literature review on Explainable AI (XAI) for time series classification, (b) categorize the research field through a taxonomy subdividing the methods into time points-based, subsequences-based and instance-based, and (c) identify open research directions regarding the type of explanations and the evaluation of explanations and interpretability.",https://doi.org/10.1109%2Faccess.2022.3207765,10.1109/access.2022.3207765,2022,journal-article,"ack ok, OA ok",TRUE,Gold,,UNIPI (probabilmente abbonamento),IEEE Access,IEEE,"Andreas Theissler, Francesco Spinnato, Udo Schlegel, Riccardo Guidotti",2169-3536,IEEE Access ( Volume: 10),2022,"	
New York, USA",100700 - 100724,,,1
31,47,MGY2021b,TRUE,,Exemplars and Counterexemplars Explanations for Skin Lesion Classifiers,Explainable AI consists in developing models allowing interaction between decision systems and humans by making the decisions understandable. We propose a case study for skin lesion diagnosis showing how it is possible to provide explanations of the decisions of deep neural network trained to label skin lesions.,https://ebooks.iospress.nl/volumearticle/60877,10.3233/FAIA220209,2021,proceedings-article,"No Ack XAI, togliere? sembra il lavoro id in eu 75",,NO,,,IOS Press,IOS Press,"Carlo Metta, Riccardo Guidotti, Yuan Yin, Patrick Gallinari, Salvatore Rinzivillo",,"HHAI2022: Augmenting Human Intellect, S. Schlobach et al. (Eds.)",2022,"Amsterdam, the Netherlands",258 - 260,,,1
32,50,NMG2022,TRUE,TRUE,Privacy Risk of Global Explainers,"In this paper we propose to study a methodology that enables the evaluation of the privacy risk exposure of global explainers based on an interpretable classifier that imitates the global reasoning of a black-box classifier. The idea is to verify if the layer of interpretability added by the interpretable model can jeopardize the privacy protection of the training data used for learning the black-box classifier. In order to address this problem, we exploit a well-known attack model called membership inference attack (MIA). We then compute the privacy risk change ΔR due to the introduction of the global explainer c. The preliminary experimental results suggest that global explainers based on decision trees introduce a higher risk of privacy, increasing the percentage of records identified as members of the training dataset used to train the original black-box classifiers. These results suggest that in order to provide Trustworthy AI, it becomes fundamental to consider the relationship between different ethical values to identify possible values like transparency and privacy that may be in contrast, and studying solutions that enable the simultaneous satisfaction of more than one value.",https://doi.org/10.3233/FAIA220206,10.3233/FAIA220206,2022,proceedings-article,"ack ok, OA ok",TRUE,Gold,,,Proceedings of the First International Conference on Hybrid Human-Artificial Intelligence,IOS Press,"Francesca Naretto, Anna Monreale, Fosca Giannotti",,Frontiers in Artificial Intelligence and Applications,2022,"Amsterdam, the Netherlands",249 - 251,,,5
